date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
30/5/18,7469.73,7573.77,7313.6,7406.52,4922540032,1.27E+11,7,12909,617,1300.7,16.37,906,979,68.24,1.16320014,0.009146621,1.359200001,0.157810852,2724.01001,24667.7793,7462.450195,1647.98999,7689.600098,22018.51953,3041.443115,14.93999958,252.9900055,1067.800049,29759847.82,12968995.59,0.832153324,4.31E+12,123808.7157,442313,
29/5/18,7129.46,7526.42,7090.68,7472.59,5662660096,1.22E+11,7,13007,508,1295.5,16.475,904,982,66.8,1.155799985,0.009146621,1.359200001,0.157810852,2689.860107,24361.44922,7396.589844,1623.650024,7632.600098,22358.42969,3120.460938,17.02000046,248.5899963,1060.319946,33399541.44,13947339.5,0.710101115,4.31E+12,142151.0149,407910,69.10860594
28/5/18,7371.31,7419.05,7100.89,7135.99,5040600064,1.26E+11,7,12882,473,1303.5,16.67,908,978,67.92,1.167500019,0.009146621,1.359200001,0.157810852,2721.330078,24753.08984,7433.850098,1626.930054,7730.299805,22481.08984,3135.082031,13.22000027,249.2799988,1075.660034,35112338.44,15091754.92,0.448727189,4.31E+12,55105.48308,337617,68.80789371
27/5/18,7362.08,7381.74,7270.96,7368.22,4056519936,1.26E+11,6,22272,448,1303.5,16.67,908,978,67.92,1.167500019,0.009146621,1.359200001,0.157810852,2721.330078,24753.08984,7433.850098,1626.930054,7730.299805,22450.78906,3141.302979,13.22000027,249.2799988,1075.660034,34684139.19,14869389.38,0.488469383,4.31E+12,57878.40326,356715,69.0981038
26/5/18,7486.48,7595.16,7349.12,7355.88,4051539968,1.28E+11,6,10783,372,1303.5,16.67,908,978,67.92,1.167500019,0.009146621,1.359200001,0.157810852,2721.330078,24753.08984,7433.850098,1626.930054,7730.299805,22450.78906,3141.302979,13.22000027,249.2799988,1075.660034,37681533.93,16379524.33,0.62506196,4.31E+12,105922.9659,464173,68.95548145
25/5/18,7592.3,7659.14,7392.65,7480.14,4867829760,1.29E+11,7,12635,87,1303.5,16.67,908,978,67.92,1.167500019,0.009146621,1.359200001,0.157810852,2721.330078,24753.08984,7433.850098,1626.930054,7730.299805,22450.78906,3141.302979,13.22000027,249.2799988,1075.660034,30616246.32,13524570.58,0.726173154,4.22E+12,132244.6879,447545,68.81109172
24/5/18,7561.12,7738.6,7331.14,7587.34,6049220096,1.29E+11,8,13769,258,1304.85,16.51,909,968,70.77,1.172799826,0.009146621,1.359200001,0.157810852,2727.76001,24811.75977,7424.430176,1628.219971,7716.700195,22437.00977,3154.650879,12.52999973,247.6900024,1079.23999,33370917.24,15300373.5,0.748044364,4.14E+12,137159.6383,481668,68.53050013
23/5/18,8037.08,8054.66,7507.88,7557.82,6491120128,1.37E+11,9,15441,419,1289,16.53,903,972,71.85,1.170799851,0.009146621,1.359200001,0.157810852,2733.290039,24886.81055,7425.959961,1627.609985,7788.399902,22689.74023,3168.964111,12.57999992,247.5399933,1079.689941,31104990.76,15129407.25,0.697712556,4.14E+12,109440.1318,441615,68.38694028
22/5/18,8419.87,8423.25,8004.58,8041.78,5137010176,1.44E+11,7,14316,129,1293.05,16.58,906,1001,72.09,1.179399848,0.009146621,1.359200001,0.157810852,2724.439941,24834.41016,7378.459961,1625.23999,7877.5,22960.33984,3214.350098,13.22000027,242.5500031,1069.72998,32340950.66,16465039.57,0.755369968,4.14E+12,94297.95255,445195,68.23667769
21/5/18,8522.33,8557.52,8365.12,8418.99,5154990080,1.45E+11,7,20752,397,1288.35,16.34,885,978,72.26,1.175899982,0.009146621,1.359200001,0.157810852,2733.01001,25013.28906,7394.040039,1637.439941,7859.200195,23002.36914,3213.840088,13.07999992,244.0890503,1079.579956,29663037.55,15313332,0.555049556,4.14E+12,60574.81711,369970,68.07572879
